safety_rank,name,state,district,latitude,longitude,population,population_density,crime_rate,safety_score
43,Guwahati,Assam,Kamrup Metropolitan,26.15,91.73,963429,9634.29,59315.0,85.98
43,Silchar,Assam,Cachar,24.83,92.78,178865,205.36,59315.0,85.98
43,Nagaon,Assam,Nagaon,26.35,92.67,121628,335.99,59315.0,85.98
43,Dibrugarh,Assam,Dibrugarh,27.47,94.91,144063,11388.38,59315.0,85.98
43,Tinsukia,Assam,Tinsukia,27.5,95.37,116322,136.37,59315.0,85.98
48,Raigarh,Chhattisgarh,Raigarh,21.9,83.4,150019,230.09,73822.0,82.55
48,Ambikapur,Chhattisgarh,Surguja,23.12,83.2,121071,165.17,73822.0,82.55
48,Korba,Chhattisgarh,Korba,22.36,82.73,363210,181.97,73822.0,82.55
48,Bilaspur,Chhattisgarh,Bilaspur,22.08,82.15,349107,779.26,73822.0,82.55
48,Rajnandgaon,Chhattisgarh,Rajnandgaon,21.1,81.03,163114,218.94,73822.0,82.55
48,Bhilai Nagar,Chhattisgarh,Durg,21.21,81.38,618611,1814.11,73822.0,82.55
48,Durg,Chhattisgarh,Durg,21.19,81.28,268806,420.67,73822.0,82.55
48,Jagdalpur,Chhattisgarh,Bastar,19.07,82.03,125463,174.25,73822.0,82.55
48,Raipur,Chhattisgarh,Raipur,21.25,81.63,1027264,1573.15,73822.0,82.55
48,Dhamtari,Chhattisgarh,Dhamtari,20.71,81.55,101677,149.31,73822.0,82.55
58,Bahadurgarh,Haryana,Jhajjar,28.68,76.92,170767,330.3,125435.0,70.34
58,Sirsa,Haryana,Sirsa,29.54,75.03,182534,88.22,125435.0,70.34
58,Karnal,Haryana,Karnal,29.69,76.99,302140,364.02,125435.0,70.34
58,Rohtak,Haryana,Rohtak,28.9,76.61,374292,399.46,125435.0,70.34
58,Hisar,Haryana,Hisar,29.15,75.7,307024,137.43,125435.0,70.34
58,Bhiwani,Haryana,Bhiwani,28.8,76.13,196057,204.23,125435.0,70.34
58,Gurgaon,Haryana,Gurgaon,28.46,77.03,886519,2662.22,125435.0,70.34
58,Rewari,Haryana,Rewari,28.18,76.62,143021,143.16,125435.0,70.34
58,Sonipat,Haryana,Sonipat,28.93,77.09,289333,408.66,125435.0,70.34
58,Ambala Sadar,Haryana,Ambala,30.33,76.84,104974,inf,125435.0,70.34
58,Panchkula,Haryana,Panchkula,30.7,76.85,211355,329.73,125435.0,70.34
58,Kaithal,Haryana,Kaithal,29.8,76.38,144915,113.21,125435.0,70.34
58,Thanesar,Haryana,Kurukshetra,29.96,76.82,155152,193.7,125435.0,70.34
58,Jind,Haryana,Jind,29.32,76.32,167592,205.13,125435.0,70.34
58,Yamunanagar,Haryana,Yamunanagar,30.12,77.28,217071,inf,125435.0,70.34
58,Jagadhri,Haryana,Yamunanagar,30.17,77.3,124894,148.68,125435.0,70.34
58,Ambala,Haryana,Ambala,30.38,76.78,195153,265.15,125435.0,70.34
58,Panipat,Haryana,Panipat,29.4,76.98,295970,552.18,125435.0,70.34
58,Faridabad,Haryana,Faridabad,28.42,77.3,1414050,4028.63,125435.0,70.34
58,Palwal,Haryana,Palwal,28.15,77.33,131926,213.13,125435.0,70.34
78,Robertson Pet,Karnataka,Kolar,12.95,78.27,162230,2791.29,129461.0,69.39
78,Mysore,Karnataka,Mysore,12.3,76.65,920550,1155.02,129461.0,69.39
78,Mangalore,Karnataka,Dakshina Kannada,12.8,74.83,499487,577.44,129461.0,69.39
78,Kolar,Karnataka,Kolar,13.13,78.13,138462,174.83,129461.0,69.39
78,Gulbarga,Karnataka,Gulbarga,17.32,76.82,543147,311.97,129461.0,69.39
78,Ranibennur,Karnataka,Haveri,14.62,75.62,106406,118.1,129461.0,69.39
78,Chitradurga,Karnataka,Chitradurga,14.23,76.4,145853,105.46,129461.0,69.39
78,Davanagere,Karnataka,Davanagere,14.46,75.92,434971,454.04,129461.0,69.39
78,Hospet,Karnataka,Bellary,15.27,76.38,206167,220.74,129461.0,69.39
78,Bellary,Karnataka,Bellary,15.1,76.92,410445,243.01,129461.0,69.39
78,Udupi,Karnataka,Udupi,13.34,74.74,144960,154.38,129461.0,69.39
78,Chikmagalur,Karnataka,Chikmagalur,13.3,75.73,118401,74.37,129461.0,69.39
78,Tumkur,Karnataka,Tumkur,13.33,77.1,302143,293.91,129461.0,69.39
78,BBMP,Karnataka,Bangalore,0.0,0.0,8443675,inf,129461.0,69.39
78,Mandya,Karnataka,Mandya,12.52,76.89,137358,192.65,129461.0,69.39
78,Hassan,Karnataka,Hassan,13.01,76.1,155006,166.14,129461.0,69.39
78,Shimoga,Karnataka,Shimoga,13.93,75.57,322650,289.63,129461.0,69.39
78,Bhadravati,Karnataka,Shimoga,13.84,75.7,151102,220.27,129461.0,69.39
78,Hubli-Dharwad,Karnataka,Dharwad,0.0,0.0,943788,inf,129461.0,69.39
78,Belgaum,Karnataka,Belgaum,15.85,74.5,490045,474.85,129461.0,69.39
78,Bagalkot,Karnataka,Bagalkot,16.17,75.68,111933,121.01,129461.0,69.39
78,Bijapur,Karnataka,Bijapur,16.83,75.73,327427,123.65,129461.0,69.39
78,Bidar,Karnataka,Bidar,17.92,77.52,216020,237.91,129461.0,69.39
78,Raichur,Karnataka,Raichur,16.2,77.36,234073,151.41,129461.0,69.39
78,Gangawati,Karnataka,Koppal,15.43,76.53,114642,85.94,129461.0,69.39
78,Gadag-Betigeri,Karnataka,Gadag,15.42,75.62,172612,3195.93,129461.0,69.39
104,Surat,Gujarat,Surat,21.17,72.83,4467797,13683.28,134600.0,68.17
104,Godhra,Gujarat,Panch Mahals,22.77,73.62,143644,187.77,134600.0,68.17
104,Dohad,Gujarat,Dohad ,22.83,74.25,118846,8489.0,134600.0,68.17
104,Vadodara,Gujarat,Vadodara,22.31,73.19,1752371,2611.58,134600.0,68.17
104,Bharuch,Gujarat,Bharuch,21.71,73.0,169007,266.57,134600.0,68.17
104,Navsari,Gujarat,Navsari ,20.95,72.93,171109,inf,134600.0,68.17
104,Valsad,Gujarat,Valsad,20.6,72.92,139764,266.73,134600.0,68.17
104,Vapi,Gujarat,Valsad,20.37,72.92,163630,inf,134600.0,68.17
104,Kalol,Gujarat,Gandhinagar,22.61,73.46,134426,275.46,134600.0,68.17
104,Gandhinagar,Gujarat,Gandhinagar,23.24,72.65,292797,436.36,134600.0,68.17
104,Ahmadabad,Gujarat,Ahmadabad,23.03,72.58,5577940,2989.25,134600.0,68.17
104,Surendranagar Dudhrej,Gujarat,Surendranagar,22.72,71.72,177851,3952.24,134600.0,68.17
104,Morvi,Gujarat,Rajkot,22.82,70.83,210451,196.68,134600.0,68.17
104,Rajkot,Gujarat,Rajkot,22.31,70.8,1323363,1186.87,134600.0,68.17
104,Gondal,Gujarat,Rajkot,21.96,70.79,112197,97.99,134600.0,68.17
104,Jetpur Navagadh,Gujarat,Rajkot,21.75,70.62,118302,inf,134600.0,68.17
104,Jamnagar,Gujarat,Jamnagar,22.47,70.06,600943,316.12,134600.0,68.17
104,Porbandar,Gujarat,Porbandar,21.64,69.61,152760,133.41,134600.0,68.17
104,Junagadh,Gujarat,Junagadh,21.52,70.46,319462,469.8,134600.0,68.17
104,Veraval,Gujarat,Junagadh,20.92,70.37,171121,inf,134600.0,68.17
104,Amreli,Gujarat,Amreli,21.6,71.22,117967,141.62,134600.0,68.17
104,Botad,Gujarat,Bhavnagar,22.17,71.67,130327,164.14,134600.0,68.17
104,Bhavnagar,Gujarat,Bhavnagar,21.77,72.15,605882,264.23,134600.0,68.17
104,Anand,Gujarat,Anand ,22.55,72.95,209410,inf,134600.0,68.17
104,Nadiad,Gujarat,Kheda,22.7,72.87,225071,557.11,134600.0,68.17
104,Patan,Gujarat,Patan ,23.85,72.13,133737,inf,134600.0,68.17
104,Gandhidham,Gujarat,Kachchh,23.08,70.14,247992,1142.82,134600.0,68.17
104,Mahesana,Gujarat,Mahesana,23.6,72.4,190753,226.28,134600.0,68.17
104,Deesa,Gujarat,Banas Kantha,24.26,72.19,111160,75.21,134600.0,68.17
104,Palanpur,Gujarat,Banas Kantha,24.18,72.43,141592,179.91,134600.0,68.17
104,Bhuj,Gujarat,Kachchh,23.24,69.67,148834,25.07,134600.0,68.17
135,Sambalpur,Odisha,Sambalpur,21.47,83.98,189366,3787.32,143414.0,66.09
135,Brahmapur,Odisha,Ganjam,19.31,84.79,356598,4457.48,143414.0,66.09
135,Puri,Odisha,Puri,19.82,85.83,200564,11797.88,143414.0,66.09
135,Bhubaneswar,Odisha,Khordha,20.3,85.82,885363,4785.75,143414.0,66.09
135,Cuttack,Odisha,Cuttack,20.46,85.88,610189,1533.14,143414.0,66.09
135,Bhadrak,Odisha,Bhadrak,21.05,86.49,121338,1538.65,143414.0,66.09
135,Baleshwar,Odisha,Baleshwar,21.48,86.93,144373,3799.29,143414.0,66.09
135,Baripada,Odisha,Mayurbhanj,21.93,86.75,116849,2921.22,143414.0,66.09
135,Raurkela,Odisha,Sundargarh,22.23,84.87,320040,5715.0,143414.0,66.09
144,Dabgram,West Bengal,Jalpaiguri,0.0,0.0,119040,inf,156503.0,63.0
144,Siliguri,West Bengal,Darjiling,26.73,88.41,509709,1960.42,156503.0,63.0
144,Bhatpara,West Bengal,North Twenty Four Parganas,22.87,88.42,386019,11127.67,156503.0,63.0
144,North Barrackpore,West Bengal,North Twenty Four Parganas,22.76,88.37,132806,12073.27,156503.0,63.0
144,Ashokenagar Kalyangarh,West Bengal,North Twenty Four Parganas,22.83,88.63,121592,6079.6,156503.0,63.0
144,Habra,West Bengal,North Twenty Four Parganas,22.85,88.66,147221,6753.26,156503.0,63.0
144,Darjiling,West Bengal,Darjiling,27.05,88.27,118805,11239.83,156503.0,63.0
144,Jalpaiguri,West Bengal,Jalpaiguri,26.54,88.72,107341,213.83,156503.0,63.0
144,Berhampore,West Bengal,Murshidabad,24.1,88.27,195223,702.24,156503.0,63.0
144,Balurghat,West Bengal,Dakshin Dinajpur,25.24,88.78,153279,431.77,156503.0,63.0
144,Raiganj,West Bengal,Uttar Dinajpur,25.62,88.13,183612,376.25,156503.0,63.0
144,Kulti,West Bengal,Barddhaman,23.73,86.85,313809,inf,156503.0,63.0
144,Asansol,West Bengal,Barddhaman,23.67,86.95,563917,1727.26,156503.0,63.0
144,South DumDum,West Bengal,North Twenty Four Parganas,22.61,88.4,403316,inf,156503.0,63.0
144,Rajarhat Gopalpur,West Bengal,North Twenty Four Parganas,22.62,88.51,402844,inf,156503.0,63.0
144,Bidhannagar,West Bengal,North Twenty Four Parganas,22.58,88.42,215514,inf,156503.0,63.0
144,Medinipur,West Bengal,Paschim Medinipur,22.43,87.32,169264,inf,156503.0,63.0
144,Kharagpur,West Bengal,Paschim Medinipur,22.35,87.23,207604,1634.68,156503.0,63.0
144,Haldia,West Bengal,Purba Medinipur,22.07,88.07,200827,669.42,156503.0,63.0
144,Chandannagar,West Bengal,Hugli,22.86,88.36,166867,8782.47,156503.0,63.0
144,Bhadreswar,West Bengal,Hugli,22.82,88.35,101477,12684.62,156503.0,63.0
144,Champdani,West Bengal,Hugli,22.8,88.33,111251,16881.79,156503.0,63.0
144,Baidyabati,West Bengal,Hugli,22.8,88.32,121110,10067.33,156503.0,63.0
144,Serampore,West Bengal,Hugli,22.75,88.33,181842,15676.03,156503.0,63.0
144,Rishra,West Bengal,Hugli,22.72,88.35,124577,inf,156503.0,63.0
144,Uttarpara Kotrung,West Bengal,Hugli,22.68,88.34,159147,13544.43,156503.0,63.0
144,Bankura,West Bengal,Bankura,23.23,87.09,137386,7208.08,156503.0,63.0
144,Puruliya,West Bengal,Puruliya,23.33,86.37,121067,863.65,156503.0,63.0
144,Bally,West Bengal,Haora,22.66,88.34,113377,inf,156503.0,63.0
144,Bally,West Bengal,Haora,22.66,88.34,293373,inf,156503.0,63.0
144,Haora,West Bengal,Haora,22.58,88.25,1077075,16948.47,156503.0,63.0
144,Uluberia,West Bengal,Haora,22.47,88.12,235345,inf,156503.0,63.0
144,Kolkata,West Bengal,Kolkata,22.57,88.36,4496694,21935.09,156503.0,63.0
144,Maheshtala,West Bengal,South Twenty Four Parganas,22.51,88.25,448317,10147.51,156503.0,63.0
144,Rajpur Sonarpur,West Bengal,South Twenty Four Parganas,22.44,88.39,424368,8614.86,156503.0,63.0
144,Barrackpore,West Bengal,North Twenty Four Parganas,22.77,88.39,152783,14399.91,156503.0,63.0
144,Titagarh,West Bengal,North Twenty Four Parganas,22.73,88.37,116541,35969.44,156503.0,63.0
144,Khardah,West Bengal,North Twenty Four Parganas,22.72,88.38,108496,inf,156503.0,63.0
144,Panihati,West Bengal,North Twenty Four Parganas,22.68,88.37,377347,19470.95,156503.0,63.0
144,Barasat,West Bengal,North Twenty Four Parganas,22.72,88.48,278435,8174.84,156503.0,63.0
144,Madhyamgram,West Bengal,North Twenty Four Parganas,22.7,88.45,196127,inf,156503.0,63.0
144,North DumDum,West Bengal,North Twenty Four Parganas,22.65,88.41,249142,9582.38,156503.0,63.0
144,Kamarhati,West Bengal,North Twenty Four Parganas,22.67,88.37,330211,30128.74,156503.0,63.0
144,Baranagar,West Bengal,North Twenty Four Parganas,22.63,88.37,245213,34440.03,156503.0,63.0
144,Dum Dum,West Bengal,North Twenty Four Parganas,22.62,88.42,114786,11797.12,156503.0,63.0
144,Kanchrapara,West Bengal,North Twenty Four Parganas,22.95,88.42,129576,14301.99,156503.0,63.0
144,Naihati,West Bengal,North Twenty Four Parganas,22.88,88.42,217900,18865.8,156503.0,63.0
144,Nabadwip,West Bengal,Nadia,23.41,88.37,125543,1349.92,156503.0,63.0
144,Basirhat,West Bengal,North Twenty Four Parganas,22.66,88.87,125254,inf,156503.0,63.0
144,Bansberia,West Bengal,Hugli,22.97,88.4,103920,11457.55,156503.0,63.0
144,Hugli-Chinsurah,West Bengal,Hugli,22.9,88.39,179931,inf,156503.0,63.0
144,Jamuria,West Bengal,Barddhaman,23.7,87.08,149220,1113.58,156503.0,63.0
144,Raniganj,West Bengal,Barddhaman,23.63,87.09,129441,1598.04,156503.0,63.0
144,Durgapur,West Bengal,Barddhaman,23.53,87.32,566517,3673.91,156503.0,63.0
144,Barddhaman,West Bengal,Barddhaman,23.23,87.87,314265,inf,156503.0,63.0
144,Bongaon,West Bengal,North Twenty Four Parganas,23.07,88.82,108864,316.47,156503.0,63.0
144,Krishnanagar,West Bengal,Nadia,23.4,88.5,153062,5887.0,156503.0,63.0
144,Santipur,West Bengal,Nadia,23.26,88.44,151777,857.5,156503.0,63.0
144,Kalyani,West Bengal,Nadia,22.98,88.43,100575,inf,156503.0,63.0
144,Halisahar,West Bengal,North Twenty Four Parganas,22.93,88.42,124939,15071.05,156503.0,63.0
204,Tenali,Andhra Pradesh,Guntur,16.24,80.65,164937,1446.82,158547.0,62.51
204,Madanapalle,Andhra Pradesh,Chittoor,13.55,78.5,180180,519.25,158547.0,62.51
204,Chittoor,Andhra Pradesh,Chittoor,13.22,79.1,160722,908.03,158547.0,62.51
204,GHMC,Andhra Pradesh,Hyderabad,0.0,0.0,345722,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Hyderabad,0.0,0.0,237594,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Hyderabad,0.0,0.0,330193,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Hyderabad,0.0,0.0,468158,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Rangareddy,0.0,0.0,413571,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Rangareddy,0.0,0.0,383654,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Rangareddy,0.0,0.0,567996,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Rangareddy,0.0,0.0,309320,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Rangareddy,0.0,0.0,105987,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Rangareddy,0.0,0.0,384835,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Rangareddy,0.0,0.0,118577,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Rangareddy,0.0,0.0,369034,inf,158547.0,62.51
204,Nalgonda,Andhra Pradesh,Nalgonda,17.05,79.27,154326,1469.77,158547.0,62.51
204,Suryapet,Andhra Pradesh,Nalgonda,17.13,79.62,106805,3051.57,158547.0,62.51
204,Mahbubnagar,Andhra Pradesh,Mahbubnagar,16.75,78.0,190400,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Rangareddy,0.0,0.0,229823,inf,158547.0,62.51
204,Khammam,Andhra Pradesh,Khammam,17.25,80.17,184210,1971.21,158547.0,62.51
204,Miryalaguda,Andhra Pradesh,Nalgonda,16.87,79.58,104918,3699.51,158547.0,62.51
204,Warangal,Andhra Pradesh,Warangal,18.0,79.59,620116,1524.11,158547.0,62.51
204,Narasaraopet,Andhra Pradesh,Guntur,16.25,80.07,117489,497.83,158547.0,62.51
204,Mangalagiri,Andhra Pradesh,Guntur,16.43,80.55,107197,760.26,158547.0,62.51
204,Machilipatnam,Andhra Pradesh,Krishna,16.17,81.13,169892,419.49,158547.0,62.51
204,Gudivada,Andhra Pradesh,Krishna,16.44,80.99,118167,1009.97,158547.0,62.51
204,Vijayawada,Andhra Pradesh,Krishna,16.52,80.63,1021806,16512.7,158547.0,62.51
204,Bhimavaram,Andhra Pradesh,West Godavari,16.54,81.52,146961,757.53,158547.0,62.51
204,Eluru,Andhra Pradesh,West Godavari,16.7,81.1,218020,927.74,158547.0,62.51
204,Tadepalligudem,Andhra Pradesh,West Godavari,16.81,81.53,104032,479.41,158547.0,62.51
204,Kakinada,Andhra Pradesh,East Godavari,16.99,82.25,312538,1625.26,158547.0,62.51
204,Rajahmundry,Andhra Pradesh,East Godavari,17.0,81.78,341831,7596.24,158547.0,62.51
204,GVMC,Andhra Pradesh,Visakhapatnam,0.0,0.0,1730320,inf,158547.0,62.51
204,Vizianagaram,Andhra Pradesh,Vizianagaram,18.11,83.4,228720,1633.71,158547.0,62.51
204,Srikakulam,Andhra Pradesh,Srikakulam,18.3,83.9,135367,995.35,158547.0,62.51
204,Ongole,Andhra Pradesh,Prakasam,15.51,80.05,204746,1003.66,158547.0,62.51
204,Nellore,Andhra Pradesh,Sri Potti Sriramulu Nellore,14.44,79.99,547621,1596.56,158547.0,62.51
204,Proddatur,Andhra Pradesh,Y.S.R.,14.75,78.55,163970,7785.85,158547.0,62.51
204,Kadapa,Andhra Pradesh,Y.S.R.,14.48,78.8,318916,1943.66,158547.0,62.51
204,Kurnool,Andhra Pradesh,Kurnool,15.83,78.03,424920,1246.1,158547.0,62.51
204,Adoni,Andhra Pradesh,Kurnool,15.62,77.27,184625,339.38,158547.0,62.51
204,Nandyal,Andhra Pradesh,Kurnool,15.48,78.48,211424,952.36,158547.0,62.51
204,Guntakal,Andhra Pradesh,Anantapur,15.17,77.37,126270,314.1,158547.0,62.51
204,Tadpatri,Andhra Pradesh,Anantapur,14.92,78.02,108171,299.64,158547.0,62.51
204,Anantapur,Andhra Pradesh,Anantapur,14.69,77.6,261004,938.86,158547.0,62.51
204,Dharmavaram,Andhra Pradesh,Anantapur,14.41,77.71,121874,325.0,158547.0,62.51
204,Hindupur,Andhra Pradesh,Anantapur,13.82,77.48,151677,758.38,158547.0,62.51
204,Tirupati,Andhra Pradesh,Chittoor,13.63,79.42,293421,10693.19,158547.0,62.51
204,Chilakaluripet,Andhra Pradesh,Guntur,16.09,80.17,101398,6759.87,158547.0,62.51
204,Guntur,Andhra Pradesh,Guntur,16.31,80.44,670073,3471.88,158547.0,62.51
204,GHMC,Andhra Pradesh,Hyderabad,0.0,0.0,213359,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Hyderabad,0.0,0.0,442229,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Hyderabad,0.0,0.0,271385,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Hyderabad,0.0,0.0,189378,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Hyderabad,0.0,0.0,108062,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Hyderabad,0.0,0.0,153558,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Hyderabad,0.0,0.0,341099,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Hyderabad,0.0,0.0,172542,inf,158547.0,62.51
204,Secunderabad,Andhra Pradesh,Hyderabad,17.45,78.5,217910,3378.45,158547.0,62.51
204,GHMC,Andhra Pradesh,Hyderabad,0.0,0.0,135370,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Hyderabad,0.0,0.0,250932,inf,158547.0,62.51
204,GHMC,Andhra Pradesh,Hyderabad,0.0,0.0,1730320,inf,158547.0,62.51
204,Karimnagar,Andhra Pradesh,Karimnagar,18.43,79.12,283657,7003.88,158547.0,62.51
204,Jagtial,Andhra Pradesh,Karimnagar,18.8,78.93,103930,2309.56,158547.0,62.51
204,Ramagundam,Andhra Pradesh,Karimnagar,18.75,79.47,237559,2530.72,158547.0,62.51
204,Nizamabad,Andhra Pradesh,Nizamabad,0.0,0.0,311152,inf,158547.0,62.51
204,Adilabad,Andhra Pradesh,Adilabad,19.67,78.53,117167,3300.48,158547.0,62.51
271,Nagapattinam,Tamil Nadu,Nagapattinam ,10.77,79.83,102905,5742.47,193913.0,54.15
271,Kumbakonam,Tamil Nadu,Thanjavur,10.96,79.38,140156,505.98,193913.0,54.15
271,Thanjavur,Tamil Nadu,Thanjavur,10.79,79.14,222943,361.92,193913.0,54.15
271,Pudukkottai,Tamil Nadu,Pudukkottai,10.38,78.82,117630,363.06,193913.0,54.15
271,Karaikkudi,Tamil Nadu,Sivaganga,10.07,78.78,106714,177.86,193913.0,54.15
271,Madurai,Tamil Nadu,Madurai,9.94,78.12,1017865,6878.86,193913.0,54.15
271,Rajapalayam,Tamil Nadu,Virudhunagar,9.45,77.55,130442,279.92,193913.0,54.15
271,Thoothukkudi,Tamil Nadu,Thoothukkudi,8.82,78.13,237830,656.99,193913.0,54.15
271,Tirunelveli,Tamil Nadu,Tirunelveli,8.74,77.69,473637,832.4,193913.0,54.15
271,Nagercoil,Tamil Nadu,Kanniyakumari,8.17,77.43,224849,4554.27,193913.0,54.15
271,Hosur,Tamil Nadu,Krishnagiri,12.74,77.83,116821,121.94,193913.0,54.15
271,Coimbatore,Tamil Nadu,Coimbatore,11.02,76.97,1050721,4258.24,193913.0,54.15
271,Kurichi,Tamil Nadu,Coimbatore,10.97,77.02,123667,inf,193913.0,54.15
271,Tiruppur,Tamil Nadu,Tiruppur,11.11,77.35,444352,1194.49,193913.0,54.15
271,Avadi,Tamil Nadu,Thiruvallur,13.12,80.1,345996,5323.02,193913.0,54.15
271,Tiruvottiyur,Tamil Nadu,Thiruvallur,13.17,80.3,249446,inf,193913.0,54.15
271,Ambattur,Tamil Nadu,Thiruvallur,13.08,80.15,466205,2590.03,193913.0,54.15
271,Alandur,Tamil Nadu,Kancheepuram,13.0,80.2,164430,1847.53,193913.0,54.15
271,Vellore,Tamil Nadu,Vellore,12.93,79.15,185803,211.86,193913.0,54.15
271,Kancheepuram,Tamil Nadu,Kancheepuram,12.83,79.7,164384,258.47,193913.0,54.15
271,Pallavaram,Tamil Nadu,Kancheepuram,12.98,80.18,215417,11967.61,193913.0,54.15
271,Chennai,Tamil Nadu,Chennai,13.07,80.24,4646732,10907.82,193913.0,54.15
271,Tambaram,Tamil Nadu,Kancheepuram,12.93,80.12,174787,2819.15,193913.0,54.15
271,Madavaram,Tamil Nadu,Thiruvallur,13.15,80.23,119105,inf,193913.0,54.15
271,Ambur,Tamil Nadu,Vellore,12.79,78.72,114608,205.39,193913.0,54.15
271,Neyveli,Tamil Nadu,Cuddalore,11.53,79.48,105731,inf,193913.0,54.15
271,Cuddalore,Tamil Nadu,Cuddalore,11.74,79.77,173636,563.75,193913.0,54.15
